hindi,reference,final translations,translation_1,comet_1,translation_2,comet_2,translation_3,comet_3,translation_4,comet_4
मुझे ठंड लग रही है,The cold is stuck to me,I am feeling cold.,I am feeling cold.,0.7842926383,The chill is setting in on me.,0.7927025557,"The temperature has dropped, leaving me chilled.",0.7223843336,The cold has crept up on me.,0.8116258979
वह भारी है,He is important,That bulky item appears quite weighty.,It is heavy.,0.7284716368,That bulky item appears quite weighty.,0.5737540126,The object appears to be quite heavy.,0.6488013864,The item in question seems to possess considerable weight.,0.6443386078
उसका दिल बड़ा है,He is generous,His heart is big.,His heart is big.,0.7320535779,The man's heart is quite large.,0.5551791191,The individual's heart is sizeable.,0.5803749561,,
वह साफ है,He is clear,The surface is spotless.,It is clean.,0.7688112259,The surface is spotless.,0.6303477287,The area appears pristine.,0.6871615648,,
वह हल्का है,He is mild or not serious,It is light.,It is light.,0.5794045329,The object is lightweight.,0.6018018126,The item feels quite lightweight.,0.5564322472,The article appears to be quite lightweight.,0.6292150021
वह सीधा है,He is simple or honest.,It is straight.,It is straight.,0.7036437392,That is direct.,0.6263739467,The text is straightforward.,0.7782483697,The Hindi text conveys a sense of simplicity and directness.,0.754062295
वह भारी आवाज़ में बोला,He spoke in a deep or serious tone.,He spoke in a heavy voice.,He spoke in a heavy voice.,0.8540266156,"The man bellowed in a deep, resonant tone.",0.7434411049,"The man rumbled in a deep, guttural tone.",0.6805949807,"The man thundered in a deep, resonant voice.",0.6633771658
वह बड़ा है,He is older,That one is quite large.,He is big.,0.724163413,That one is quite large.,0.5457665324,The individual is of considerable size.,0.5355211496,The person is of significant stature.,0.6366049051
उसका चेहरा उतर गया,He was disappointed,His face fell,His face fell,0.6403443813,The man's expression turned somber,0.6493173242,The man's countenance grew somber,0.5327188969,The man's visage darkened,0.5573086739
वह काम नहीं करता,He is unemployed,He does not do the work.,He does not do the work.,0.6126640439,He is not performing that task.,0.668847084,That work is not something he engages in.,0.6091220975,,
उसका मूड खराब है,He is upset,His mood is bad.,His mood is bad.,0.7656709552,The individual's disposition is quite poor.,0.6137106419,The person's emotional state is quite poor.,0.6428425312,The man's temperament is quite poor.,0.6803643107
वह जल गया,He is jealous,The water has vanished.,The water has gone.,0.4912985265,The water has vanished.,0.4629193544,The liquid has dissipated.,0.4660952389,The moisture has evaporated.,0.4562636018
वह खुला है,It is available,It is open.,It is open.,0.9046812057,The door is open.,0.8224291801,The passage is accessible.,0.8071545959,The way is clear.,0.685076654
वह मेरे हाथों में टूट गया,He broke down in my hands,It broke in my hands,It broke in my hands,0.78455019,The object shattered in my grasp,0.766969502,The item crumbled within my palms,0.7643322349,The fragile object disintegrated in my grip,0.7310756445
उसका चेहरा चमक रहा है,He is happy,The man,His face is shining brightly.,0.7260792851,The man's countenance is radiant.,0.612447083,The man's visage is gleaming with radiance.,0.6269620657,The gentleman's face is shimmering with luminance.,0.6335983872
वह हिल गया,He was emotionally taken,The hill moved.,The hill moved.,0.4938196242,The hill shifted.,0.4579514861,The hill terrain shifted.,0.4540053904,,
यह बात बड़ी है,This matter is serious,This matter is very important.,This matter is very important.,0.9220735431,This is a significant matter.,0.9154297709,This matter is of great significance.,0.8580266237,This Hindi text conveys a matter of great importance and significance.,0.697894752
उसकी तबीयत खराब है,He is sick,His health is poor.,His health is poor.,0.8857544065,He is unwell.,0.8954711556,His condition is poor.,0.8709954619,His wellbeing is poor.,0.7562755346
वह चल रहा है,It is ongoing / in progress,He is walking.,He is walking.,0.5667977333,He is proceeding.,0.7117738128,He is on the move.,0.653868854,He is making his way.,0.5893036723
वह खाली है,He is free,It is empty.,It is empty.,0.675599575,It is vacant.,0.6522533894,The space is unoccupied.,0.6102916002,The location is vacant.,0.6245724559
उसका दिमाग ख़ाली है,He is stupid,His mind is empty.,His mind is empty.,0.7412397861,His mind is vacant.,0.6885839701,His mind is clear.,0.6416377425,His mind is unoccupied.,0.6210072041
वह भारी काम है,It is difficult work,It is a heavy task.,It is a heavy task.,0.9401128888,That is a heavy task.,0.9140678048,That appears to be a burdensome task.,0.8385184407,That heavy work appears to be quite burdensome.,0.8005261421
वह गिरा हुआ आदमी है,He is corrupt,The fallen man is there.,The fallen man is there.,0.5824177265,The man who has fallen is present.,0.5745026469,The man who has fallen down is present.,0.5491884351,The individual who has fallen lies there.,0.4974761307
वह तेज दिमाग वाला है,He is clever,He is a sharp-minded individual.,He is a sharp-minded individual.,0.7595076561,He has a keen intellect.,0.77846843,That person possesses a keen and discerning mind.,0.6009447575,That individual possesses a keen and perceptive intellect.,0.662689209
वह हल्की आवाज़ में बोला,He spoke softly,He spoke in a gentle tone.,He spoke in a soft voice.,0.9194583297,He spoke in a gentle tone.,0.8683232069,"The person spoke in a soft, mellow tone.",0.8378803134,"The person spoke in a soft, gentle manner.",0.8183034062
वह ऊँचा बोलता है,He speakes loudly,He speaks loudly.,He speaks loudly.,0.9616039991,He speaks in a loud voice.,0.9183502197,The man speaks in a booming voice.,0.8008117676,"The man speaks in a forceful, boisterous manner.",0.7888771296
वह अपने ही पैरों पर खड़ा है,He is indepenent,He stands on his own two feet.,He stands on his own two feet.,0.5579056144,The person is standing on their own two feet.,0.5066646338,,,,
दिल जलना,Jealousy or Envy,The heart burns,The heart burns,0.4288265109,The heart is burning,0.4187344313,The soul is burning,0.4088005126,The heart is consumed by anguish,0.5105454326
उसका दिमाग खराब है,He is crazy,His mind is troubled.,His mind is troubled.,0.6729749441,His mind is in a bad state.,0.6693648696,His mental state is poor.,0.6882301569,His psyche is in a troubled state.,0.6615254879
उसकी बोलती बंद हो गई,He is speachless,Her speech was silenced.,Her speech was silenced.,0.7784324288,Her voice was silenced.,0.7678505778,Her words were silenced.,0.779466331,Her utterance was silenced.,0.7550369501
वह बड़ी मछली है,He is powerful,That is a large fish.,That is a large fish.,0.6900538802,That big fish is impressive.,0.6821439266,That magnificent fish is truly impressive.,0.6866628528,That colossal fish is truly breathtaking.,0.6072160602
वह बहुत हवा में उड़ रहा है,He is flying in the air a lot,He is soaring high in the air.,He is soaring high in the air.,0.803166151,The object is soaring high in the sky.,0.7211107612,The object is gliding effortlessly through the vast expanse of the sky.,0.6566948295,"The object is drifting gracefully through the vast, boundless sky.",0.6352744699
उसके पेट में चूहे कूद रहे हैं,He is really hungry,There are mice scurrying inside his abdomen.,There are mice jumping in his belly.,0.5156320333,There are mice scurrying inside his abdomen.,0.5310119987,Rodents are scampering within his abdomen.,0.5359420776,Vermin are scurrying within his gut.,0.5147921443
,,,,,,,,,,
,which one chosen as final,,38,34,8,6,1,4,0,5
,highest comet,,,,,,,,,
