hindi,reference,final translations,translation_1,comet_1,translation_2,comet_2,translation_3,comet_3,translation_4,comet_4
उसका चेहरा चमक रहा है,He is happy,Her face is glowing,Her face is glowing,0.6857270598,His face is radiating brightness,0.7462577224,Their face is shining brightly,0.713968873,That person's face is beaming with light,0.6140249968
वह हिल गया,He was emotionally taken,He moved,He moved,0.5527330637,He shifted,0.5141868591,It swayed,0.5928701162,He stirred,0.65010041
यह बात बड़ी है,This matter is serious,This is a significant matter,This is a significant matter,0.9163577557,This thing is big,0.8268791437,This matter is of great importance,0.9004935026,This is a major issue,0.9027529955
उसकी तबीयत खराब है,He is sick,Her health is poor,Her health is poor,0.8113014102,His condition is not well,0.7792750001,She is feeling unwell,0.8016695976,He's not doing well,0.70227319
वह चल रहा है,It is ongoing / in progress,He is walking,He is walking,0.5449683666,He is going,0.5953963399,He keeps moving,0.6653192043,He continues on his way,0.5701847672
वह खाली है,He is free,It is empty,It is empty,0.6972671747,That is vacant,0.5828485489,She is unoccupied,0.5395238996,He is free,0.9895738363
उसका दिमाग ख़ाली है,He is stupid,His mind is vacant,His mind is vacant,0.6968002915,Her brain is empty,0.731949389,Their head is completely empty,0.6861881018,That person's mind is blank,0.7128493786
वह भारी काम है,It is difficult work,That is a difficult task,That is a difficult task,0.9429883361,That's a heavy job,0.9026148319,It's a tough piece of work,0.9283354878,That's quite a burden,0.7614668608
वह गिरा हुआ आदमी है,He is corrupt,He is a fallen man,He is a fallen man,0.8119472265,That man has fallen from grace,0.6109473705,That person is someone who has experienced a downfall,0.6287665367,He's a man who has come down in the world,0.4909467101
वह तेज दिमाग वाला है,He is clever,He is sharp-minded,He is sharp-minded,0.7755183578,He has a brilliant mind,0.8143445849,He possesses a keen intellect,0.8146426082,He is quick-witted,0.7886845469
वह हल्की आवाज़ में बोला,He spoke softly,He spoke in a soft voice,He spoke in a soft voice,0.9198480248,He spoke softly,0.9862288237,She spoke in a gentle tone,0.8551442623,He uttered words in a hushed manner,0.726886034
वह ऊँचा बोलता है,He speakes loudly,He speaks loudly,He speaks loudly,0.9662482142,He talks in a loud voice,0.9021744728,He raises his voice when speaking,0.8348657489,He has a loud manner of speaking,0.8552950025
वह अपने ही पैरों पर खड़ा है,He is indepenent,He stands on his own two feet,He stands on his own two feet,0.5595929027,He is standing on his own feet,0.5992466807,He is self-reliant and independent,0.7501158714,He supports himself without depending on others,0.6887720823
दिल जलना,Jealousy or Envy,Heart burning with jealousy,Heart burning with jealousy,0.7150616646,Feeling envious,0.5819090605,The heart is ablaze,0.4635215402,Heartache and resentment,0.6314495206
उसका दिमाग खराब है,He is crazy,His mind is damaged,His mind is damaged,0.7447912693,He has lost his senses,0.6781923175,He's not in his right mind,0.6728487611,,
उसकी बोलती बंद हो गई,He is speachless,She fell silent,She fell silent,0.7343871593,Her voice went quiet,0.7686892152,She stopped speaking,0.8039435744,She was rendered speechless,0.7381611466
वह बड़ी मछली है,He is powerful,That is a large fish,That is a large fish,0.7290863991,It is a big fish,0.733340323,She is a huge fish,0.7038158178,That's one big fish,0.6136029959
,,,,,,,,,,
,,,47,17,,13,,12,,6
,which one chosen as final,,,,,,,,,
,highest comet,,,,,,,,,
