hindi,reference,final translations,translation_1,bleurt_1,translation_2,bleurt_2,translation_3,bleurt_3,translation_4,bleurt_4
वह भारी काम है,It is difficult work,It is a heavy task.,It is a heavy task.,0.4621478021,That is a heavy task.,0.2375319302,That appears to be a burdensome task.,0.3380635083,That heavy work appears to be quite burdensome.,0.1162124872
वह गिरा हुआ आदमी है,He is corrupt,The fallen man is there.,The fallen man is there.,-1.049104333,The man who has fallen is present.,-1.185463428,The man who has fallen down is present.,-1.040403008,The individual who has fallen lies there.,-1.285402298
वह तेज दिमाग वाला है,He is clever,He is a sharp-minded individual.,He is a sharp-minded individual.,-0.0942646265,He has a keen intellect.,0.03595569357,That person possesses a keen and discerning mind.,-0.4071882963,That individual possesses a keen and perceptive intellect.,-0.4692797363
वह हल्की आवाज़ में बोला,He spoke softly,He spoke in a gentle tone.,He spoke in a soft voice.,0.9201226234,He spoke in a gentle tone.,0.8543998003,"The person spoke in a soft, mellow tone.",0.160810411,"The person spoke in a soft, gentle manner.",0.2374671698
वह ऊँचा बोलता है,He speakes loudly,He speaks loudly.,He speaks loudly.,0.7599617839,He speaks in a loud voice.,0.6409819722,The man speaks in a booming voice.,0.5293805599,"The man speaks in a forceful, boisterous manner.",0.3862589002
वह अपने ही पैरों पर खड़ा है,He is indepenent,He stands on his own two feet.,He stands on his own two feet.,-0.7500095963,The person is standing on their own two feet.,-0.9521251917,,,,
दिल जलना,Jealousy or Envy,The heart burns,The heart burns,-1.803753257,The heart is burning,-1.784618735,The soul is burning,-1.794442534,The heart is consumed by anguish,-1.496978402
उसका दिमाग खराब है,He is crazy,His mind is troubled.,His mind is troubled.,-0.9496107101,His mind is in a bad state.,-0.5292236209,His mental state is poor.,-1.041216016,His psyche is in a troubled state.,-1.303427219
उसकी बोलती बंद हो गई,He is speachless,Her speech was silenced.,Her speech was silenced.,-1.395508528,Her voice was silenced.,-1.381915092,Her words were silenced.,-1.334530473,Her utterance was silenced.,-1.377493143
वह बड़ी मछली है,He is powerful,That is a large fish.,That is a large fish.,-1.670791149,That big fish is impressive.,-1.581768513,That magnificent fish is truly impressive.,-1.474546909,That colossal fish is truly breathtaking.,-1.556688309
वह बहुत हवा में उड़ रहा है,He is flying in the air a lot,He is soaring high in the air.,He is soaring high in the air.,0.2625353336,The object is soaring high in the sky.,-0.4078560174,The object is gliding effortlessly through the vast expanse of the sky.,-0.4691952467,"The object is drifting gracefully through the vast, boundless sky.",-0.857625246
उसके पेट में चूहे कूद रहे हैं,He is really hungry,There are mice scurrying inside his abdomen.,There are mice jumping in his belly.,-1.393156171,There are mice scurrying inside his abdomen.,-1.509663939,Rodents are scampering within his abdomen.,-1.144280553,Vermin are scurrying within his gut.,-1.108413339
,,,,,,,,,,
,,,38,20,8,11,1,14,0,4
,which one chosen as final,,,,,,,,,
,highest bleurt,,,,,,,,,
